"תחנה","תאריך ושעה (שעון קיץ)","טמפרטורה (C°)","לחות יחסית (%)"
"מרום גולן פיכמן 01/1998-07/2025","02-09-2020 09:00","31.7","32"
"כפר בלום 07/2005-07/2025","02-09-2020 09:00","29.5","65"
"כפר גלעדי 10/2007-07/2025","02-09-2020 12:00","33.9","48"
"מרום גולן פיכמן 01/1998-07/2025","02-09-2020 12:00","32","49"
"כפר בלום 07/2005-07/2025","02-09-2020 12:00","35.4","45"
"כפר גלעדי 10/2007-07/2025","02-09-2020 15:00","32.6","50"
"מרום גולן פיכמן 01/1998-07/2025","02-09-2020 15:00","31.7","51"
"כפר בלום 07/2005-07/2025","02-09-2020 15:00","37","40"
"כפר גלעדי 10/2007-07/2025","02-09-2020 18:00","29.5","61"
"מרום גולן פיכמן 01/1998-07/2025","02-09-2020 18:00","27.2","67"
"כפר בלום 07/2005-07/2025","02-09-2020 18:00","34.9","44"
"כפר גלעדי 10/2007-07/2025","02-09-2020 21:00","26.5","79"
"מרום גולן פיכמן 01/1998-07/2025","02-09-2020 21:00","23.1","74"
"כפר בלום 07/2005-07/2025","02-09-2020 21:00","29.3","69"
"כפר גלעדי 10/2007-07/2025","03-09-2020 00:00","25.7","79"
"מרום גולן פיכמן 01/1998-07/2025","03-09-2020 00:00","18.7","67"
"כפר בלום 07/2005-07/2025","03-09-2020 00:00","26.9","78"
"כפר גלעדי 10/2007-07/2025","03-09-2020 03:00","23.7","90"
"מרום גולן פיכמן 01/1998-07/2025","03-09-2020 03:00","16.6","72"
"כפר בלום 07/2005-07/2025","03-09-2020 03:00","25.3","84"
"כפר גלעדי 10/2007-07/2025","03-09-2020 06:00","22.7","94"
"מרום גולן פיכמן 01/1998-07/2025","03-09-2020 06:00","20.8","40"
"כפר בלום 07/2005-07/2025","03-09-2020 06:00","23.3","86"
"כפר גלעדי 10/2007-07/2025","03-09-2020 09:00","26.8","78"
"מרום גולן פיכמן 01/1998-07/2025","03-09-2020 09:00","33","18"
"כפר בלום 07/2005-07/2025","03-09-2020 09:00","28.3","72"
"כפר גלעדי 10/2007-07/2025","03-09-2020 12:00","34.8","51"
"מרום גולן פיכמן 01/1998-07/2025","03-09-2020 12:00","37.8","12"
"כפר בלום 07/2005-07/2025","03-09-2020 12:00","35.5","49"
"כפר גלעדי 10/2007-07/2025","03-09-2020 15:00","44.5","10"
"מרום גולן פיכמן 01/1998-07/2025","03-09-2020 15:00","38.2","12"
"כפר בלום 07/2005-07/2025","03-09-2020 15:00","45.5","11"
"כפר גלעדי 10/2007-07/2025","03-09-2020 18:00","38.5","29"
"מרום גולן פיכמן 01/1998-07/2025","03-09-2020 18:00","33.1","36"
"כפר בלום 07/2005-07/2025","03-09-2020 18:00","42.9","24"
"כפר גלעדי 10/2007-07/2025","03-09-2020 21:00","38.9","14"
"מרום גולן פיכמן 01/1998-07/2025","03-09-2020 21:00","23.3","50"
"כפר בלום 07/2005-07/2025","03-09-2020 21:00","34","28"
"כפר גלעדי 10/2007-07/2025","04-09-2020 00:00","37.6","12"
"מרום גולן פיכמן 01/1998-07/2025","04-09-2020 00:00","19.6","66"
"כפר בלום 07/2005-07/2025","04-09-2020 00:00","28.4","44"
"כפר גלעדי 10/2007-07/2025","04-09-2020 03:00","35.3","15"
"מרום גולן פיכמן 01/1998-07/2025","04-09-2020 03:00","22.6","36"
"כפר בלום 07/2005-07/2025","04-09-2020 03:00","24.9","51"
"כפר גלעדי 10/2007-07/2025","04-09-2020 06:00","33.2","15"
"מרום גולן פיכמן 01/1998-07/2025","04-09-2020 06:00","22.9","30"
"כפר בלום 07/2005-07/2025","04-09-2020 06:00","23.6","54"
"כפר גלעדי 10/2007-07/2025","04-09-2020 09:00","33.1","29"
"מרום גולן פיכמן 01/1998-07/2025","04-09-2020 09:00","36.6","12"
"כפר בלום 07/2005-07/2025","04-09-2020 09:00","28.1","48"
"כפר גלעדי 10/2007-07/2025","04-09-2020 12:00","39.8","22"
"מרום גולן פיכמן 01/1998-07/2025","04-09-2020 12:00","39.2","12"
"כפר בלום 07/2005-07/2025","04-09-2020 12:00","39.3","20"
"כפר גלעדי 10/2007-07/2025","04-09-2020 15:00","40.5","31"
"מרום גולן פיכמן 01/1998-07/2025","04-09-2020 15:00","37.8","22"
"כפר בלום 07/2005-07/2025","04-09-2020 15:00","44.5","19"
"כפר גלעדי 10/2007-07/2025","04-09-2020 18:00","37.9","22"
"מרום גולן פיכמן 01/1998-07/2025","04-09-2020 18:00","34","18"
"כפר בלום 07/2005-07/2025","04-09-2020 18:00","41.6","17"
"כפר גלעדי 10/2007-07/2025","04-09-2020 21:00","37.3","13"
"מרום גולן פיכמן 01/1998-07/2025","04-09-2020 21:00","30.7","19"
"כפר בלום 07/2005-07/2025","04-09-2020 21:00","32.7","33"
"כפר גלעדי 10/2007-07/2025","05-09-2020 00:00","37.4","11"
"מרום גולן פיכמן 01/1998-07/2025","05-09-2020 00:00","22.3","41"
"כפר בלום 07/2005-07/2025","05-09-2020 00:00","26.4","40"
"כפר גלעדי 10/2007-07/2025","05-09-2020 03:00","32.9","15"
"מרום גולן פיכמן 01/1998-07/2025","05-09-2020 03:00","16.8","66"
"כפר בלום 07/2005-07/2025","05-09-2020 03:00","24.7","47"
"כפר גלעדי 10/2007-07/2025","05-09-2020 06:00","30.7","19"
"מרום גולן פיכמן 01/1998-07/2025","05-09-2020 06:00","15.5","67"
"כפר בלום 07/2005-07/2025","05-09-2020 06:00","21.6","57"
"כפר גלעדי 10/2007-07/2025","05-09-2020 09:00","31.5","23"
"מרום גולן פיכמן 01/1998-07/2025","05-09-2020 09:00","33.2","20"
"כפר בלום 07/2005-07/2025","05-09-2020 09:00","30.2","43"
"כפר גלעדי 10/2007-07/2025","05-09-2020 12:00","37.6","28"
"מרום גולן פיכמן 01/1998-07/2025","05-09-2020 12:00","37.6","12"
"כפר בלום 07/2005-07/2025","05-09-2020 12:00","37.8","20"
"כפר גלעדי 10/2007-07/2025","05-09-2020 15:00","39.4","24"
"מרום גולן פיכמן 01/1998-07/2025","05-09-2020 15:00","38.2","16"
"כפר בלום 07/2005-07/2025","05-09-2020 15:00","43.7","21"
"כפר גלעדי 10/2007-07/2025","05-09-2020 18:00","33.1","47"
"מרום גולן פיכמן 01/1998-07/2025","05-09-2020 18:00","32.3","39"
"כפר בלום 07/2005-07/2025","05-09-2020 18:00","38.5","31"
"כפר גלעדי 10/2007-07/2025","05-09-2020 21:00","33.8","19"
"מרום גולן פיכמן 01/1998-07/2025","05-09-2020 21:00","27.2","25"
"כפר בלום 07/2005-07/2025","05-09-2020 21:00","31.1","57"
"כפר גלעדי 10/2007-07/2025","06-09-2020 00:00","26.8","60"
"מרום גולן פיכמן 01/1998-07/2025","06-09-2020 00:00","25.1","48"
"כפר בלום 07/2005-07/2025","06-09-2020 00:00","27.1","68"
"כפר גלעדי 10/2007-07/2025","06-09-2020 03:00","25.3","60"
"מרום גולן פיכמן 01/1998-07/2025","06-09-2020 03:00","18.7","63"
"כפר בלום 07/2005-07/2025","06-09-2020 03:00","25","75"
"כפר גלעדי 10/2007-07/2025","06-09-2020 06:00","23.5","69"
"מרום גולן פיכמן 01/1998-07/2025","06-09-2020 06:00","16.4","60"
"כפר בלום 07/2005-07/2025","06-09-2020 06:00","22.3","68"
"כפר גלעדי 10/2007-07/2025","06-09-2020 09:00","27.7","67"
"מרום גולן פיכמן 01/1998-07/2025","06-09-2020 09:00","32.3","19"
"כפר בלום 07/2005-07/2025","06-09-2020 09:00","28.5","57"
"כפר גלעדי 10/2007-07/2025","06-09-2020 12:00","34.3","42"
"מרום גולן פיכמן 01/1998-07/2025","06-09-2020 12:00","34.2","26"
"כפר בלום 07/2005-07/2025","06-09-2020 12:00","35.1","33"
"כפר גלעדי 10/2007-07/2025","06-09-2020 15:00","35.5","45"
"מרום גולן פיכמן 01/1998-07/2025","06-09-2020 15:00","34.9","27"
"כפר בלום 07/2005-07/2025","06-09-2020 15:00","39.7","37"
"כפר גלעדי 10/2007-07/2025","06-09-2020 18:00","31.4","49"
"מרום גולן פיכמן 01/1998-07/2025","06-09-2020 18:00","31.3","35"
"כפר בלום 07/2005-07/2025","06-09-2020 18:00","36.3","39"
"כפר גלעדי 10/2007-07/2025","06-09-2020 21:00","31.4","21"
"מרום גולן פיכמן 01/1998-07/2025","06-09-2020 21:00","21.2","39"
"כפר בלום 07/2005-07/2025","06-09-2020 21:00","29.6","53"
"כפר גלעדי 10/2007-07/2025","07-09-2020 00:00","33.1","22"
"מרום גולן פיכמן 01/1998-07/2025","07-09-2020 00:00","17.8","61"
"כפר בלום 07/2005-07/2025","07-09-2020 00:00","24.9","62"
"כפר גלעדי 10/2007-07/2025","07-09-2020 03:00","25.5","51"
"מרום גולן פיכמן 01/1998-07/2025","07-09-2020 03:00","16.5","59"
"כפר בלום 07/2005-07/2025","07-09-2020 03:00","22.5","66"
"כפר גלעדי 10/2007-07/2025","07-09-2020 06:00","23.7","61"
"מרום גולן פיכמן 01/1998-07/2025","07-09-2020 06:00","15.8","57"
"כפר בלום 07/2005-07/2025","07-09-2020 06:00","21.2","71"
"כפר גלעדי 10/2007-07/2025","07-09-2020 09:00","27.9","55"
"מרום גולן פיכמן 01/1998-07/2025","07-09-2020 09:00","33.2","17"
"כפר בלום 07/2005-07/2025","07-09-2020 09:00","27.1","56"
"כפר גלעדי 10/2007-07/2025","07-09-2020 12:00","37.2","33"
"מרום גולן פיכמן 01/1998-07/2025","07-09-2020 12:00","37.6","13"
"כפר בלום 07/2005-07/2025","07-09-2020 12:00","35.6","34"
"כפר גלעדי 10/2007-07/2025","07-09-2020 15:00","36.5","36"
"מרום גולן פיכמן 01/1998-07/2025","07-09-2020 15:00","36.4","27"
"כפר בלום 07/2005-07/2025","07-09-2020 15:00","41.4","22"
"כפר גלעדי 10/2007-07/2025","07-09-2020 18:00","35.5","31"
"מרום גולן פיכמן 01/1998-07/2025","07-09-2020 18:00","32.6","30"
"כפר בלום 07/2005-07/2025","07-09-2020 18:00","37.9","36"
"כפר גלעדי 10/2007-07/2025","07-09-2020 21:00","30.2","53"
"מרום גולן פיכמן 01/1998-07/2025","07-09-2020 21:00","20.2","66"
"כפר בלום 07/2005-07/2025","07-09-2020 21:00","31.3","62"
"כפר גלעדי 10/2007-07/2025","08-09-2020 00:00","26.4","78"
"מרום גולן פיכמן 01/1998-07/2025","08-09-2020 00:00","18","64"
"כפר בלום 07/2005-07/2025","08-09-2020 00:00","28.3","72"
"כפר גלעדי 10/2007-07/2025","08-09-2020 03:00","24.8","87"
"מרום גולן פיכמן 01/1998-07/2025","08-09-2020 03:00","22.2","38"
"כפר בלום 07/2005-07/2025","08-09-2020 03:00","25.6","78"
"כפר גלעדי 10/2007-07/2025","08-09-2020 06:00","23.4","92"
"מרום גולן פיכמן 01/1998-07/2025","08-09-2020 06:00","16.4","65"
"כפר בלום 07/2005-07/2025","08-09-2020 06:00","24.2","84"
"כפר גלעדי 10/2007-07/2025","08-09-2020 09:00","26.7","82"
"מרום גולן פיכמן 01/1998-07/2025","08-09-2020 09:00","32.5","21"
"כפר בלום 07/2005-07/2025","08-09-2020 09:00","29.1","75"
"כפר גלעדי 10/2007-07/2025","08-09-2020 12:00","33.8","56"
"מרום גולן פיכמן 01/1998-07/2025","08-09-2020 12:00","36.3","26"
"כפר בלום 07/2005-07/2025","08-09-2020 12:00","34.7","50"
"כפר גלעדי 10/2007-07/2025","08-09-2020 15:00","36.3","45"
"מרום גולן פיכמן 01/1998-07/2025","08-09-2020 15:00","34","36"
"כפר בלום 07/2005-07/2025","08-09-2020 15:00","39.8","37"
"כפר גלעדי 10/2007-07/2025","08-09-2020 18:00","32.5","51"
"מרום גולן פיכמן 01/1998-07/2025","08-09-2020 18:00","30.6","49"
"כפר בלום 07/2005-07/2025","08-09-2020 18:00","36.5","46"
"כפר גלעדי 10/2007-07/2025","08-09-2020 21:00","28.9","63"
"מרום גולן פיכמן 01/1998-07/2025","08-09-2020 21:00","23.8","76"
"כפר בלום 07/2005-07/2025","08-09-2020 21:00","30.5","66"
"כפר גלעדי 10/2007-07/2025","09-09-2020 00:00","26.3","79"
"מרום גולן פיכמן 01/1998-07/2025","09-09-2020 00:00","20.7","91"
"כפר בלום 07/2005-07/2025","09-09-2020 00:00","28.4","76"
"כפר גלעדי 10/2007-07/2025","09-09-2020 03:00","24.8","86"
"מרום גולן פיכמן 01/1998-07/2025","09-09-2020 03:00","19.8","93"
"כפר בלום 07/2005-07/2025","09-09-2020 03:00","26.5","82"
"כפר גלעדי 10/2007-07/2025","09-09-2020 06:00","24","86"
"מרום גולן פיכמן 01/1998-07/2025","09-09-2020 06:00","15","92"
"כפר בלום 07/2005-07/2025","09-09-2020 06:00","24","84"
"כפר גלעדי 10/2007-07/2025","09-09-2020 09:00","26.8","80"
"מרום גולן פיכמן 01/1998-07/2025","09-09-2020 09:00","31.3","24"
"כפר בלום 07/2005-07/2025","09-09-2020 09:00","29","74"
"כפר גלעדי 10/2007-07/2025","09-09-2020 12:00","33.4","56"
"מרום גולן פיכמן 01/1998-07/2025","09-09-2020 12:00","35","21"
"כפר בלום 07/2005-07/2025","09-09-2020 12:00","34.7","52"
"כפר גלעדי 10/2007-07/2025","09-09-2020 15:00","36.5","41"
"מרום גולן פיכמן 01/1998-07/2025","09-09-2020 15:00","34.4","33"
"כפר בלום 07/2005-07/2025","09-09-2020 15:00","40.2","35"
"כפר גלעדי 10/2007-07/2025","09-09-2020 18:00","32.6","48"
"מרום גולן פיכמן 01/1998-07/2025","09-09-2020 18:00","31.1","39"
"כפר בלום 07/2005-07/2025","09-09-2020 18:00","38","39"
"כפר גלעדי 10/2007-07/2025","09-09-2020 21:00","27.6","73"
"מרום גולן פיכמן 01/1998-07/2025","09-09-2020 21:00","23.2","67"
"כפר בלום 07/2005-07/2025","09-09-2020 21:00","30.7","65"
"כפר גלעדי 10/2007-07/2025","10-09-2020 00:00","27.5","66"
"מרום גולן פיכמן 01/1998-07/2025","10-09-2020 00:00","21.3","51"
"כפר בלום 07/2005-07/2025","10-09-2020 00:00","28.8","73"
"כפר גלעדי 10/2007-07/2025","10-09-2020 03:00","25","88"
"מרום גולן פיכמן 01/1998-07/2025","10-09-2020 03:00","23","36"
"כפר בלום 07/2005-07/2025","10-09-2020 03:00","26.7","79"
"כפר גלעדי 10/2007-07/2025","10-09-2020 06:00","24.6","92"
"מרום גולן פיכמן 01/1998-07/2025","10-09-2020 06:00","24.8","33"
"כפר בלום 07/2005-07/2025","10-09-2020 06:00","25.2","84"
"כפר גלעדי 10/2007-07/2025","10-09-2020 09:00","27.1","82"
"מרום גולן פיכמן 01/1998-07/2025","10-09-2020 09:00","31.5","18"
"כפר בלום 07/2005-07/2025","10-09-2020 09:00","29.3","73"
"כפר גלעדי 10/2007-07/2025","10-09-2020 12:00","35.4","52"
"מרום גולן פיכמן 01/1998-07/2025","10-09-2020 12:00","36.1","15"
"כפר בלום 07/2005-07/2025","10-09-2020 12:00","36.1","43"
"כפר גלעדי 10/2007-07/2025","10-09-2020 15:00","38.2","34"
"מרום גולן פיכמן 01/1998-07/2025","10-09-2020 15:00","36.9","27"
"כפר בלום 07/2005-07/2025","10-09-2020 15:00","41.8","31"
"כפר גלעדי 10/2007-07/2025","10-09-2020 18:00","35.6","36"
"מרום גולן פיכמן 01/1998-07/2025","10-09-2020 18:00","31","43"
"כפר בלום 07/2005-07/2025","10-09-2020 18:00","39","35"
"כפר גלעדי 10/2007-07/2025","10-09-2020 21:00","29.8","61"
"מרום גולן פיכמן 01/1998-07/2025","10-09-2020 21:00","24.2","67"
"כפר בלום 07/2005-07/2025","10-09-2020 21:00","32.5","59"
"כפר גלעדי 10/2007-07/2025","11-09-2020 00:00","26.8","83"
"מרום גולן פיכמן 01/1998-07/2025","11-09-2020 00:00","20.5","72"
"כפר בלום 07/2005-07/2025","11-09-2020 00:00","29.2","75"
"כפר גלעדי 10/2007-07/2025","11-09-2020 03:00","25.2","89"
"מרום גולן פיכמן 01/1998-07/2025","11-09-2020 03:00","17","80"
"כפר בלום 07/2005-07/2025","11-09-2020 03:00","27.1","81"
"כפר גלעדי 10/2007-07/2025","11-09-2020 06:00","24.5","89"
"מרום גולן פיכמן 01/1998-07/2025","11-09-2020 06:00","21.9","73"
"כפר בלום 07/2005-07/2025","11-09-2020 06:00","25.6","86"
"כפר גלעדי 10/2007-07/2025","11-09-2020 09:00","28.6","73"
"מרום גולן פיכמן 01/1998-07/2025","11-09-2020 09:00","26.8","59"
"כפר בלום 07/2005-07/2025","11-09-2020 09:00","29.7","72"
"כפר גלעדי 10/2007-07/2025","11-09-2020 12:00","34.8","51"
"מרום גולן פיכמן 01/1998-07/2025","11-09-2020 12:00","30.7","49"
"כפר בלום 07/2005-07/2025","11-09-2020 12:00","36","48"
"כפר גלעדי 10/2007-07/2025","11-09-2020 15:00","33.8","53"
"מרום גולן פיכמן 01/1998-07/2025","11-09-2020 15:00","31.5","50"
"כפר בלום 07/2005-07/2025","11-09-2020 15:00","38","42"
"כפר גלעדי 10/2007-07/2025","11-09-2020 18:00","30.3","56"
"מרום גולן פיכמן 01/1998-07/2025","11-09-2020 18:00","27.9","62"
"כפר בלום 07/2005-07/2025","11-09-2020 18:00","35.2","46"
"כפר גלעדי 10/2007-07/2025","11-09-2020 21:00","28.2","61"
"מרום גולן פיכמן 01/1998-07/2025","11-09-2020 21:00","24.4","73"
"כפר בלום 07/2005-07/2025","11-09-2020 21:00","29.9","66"
"כפר גלעדי 10/2007-07/2025","12-09-2020 00:00","25.8","69"
"מרום גולן פיכמן 01/1998-07/2025","12-09-2020 00:00","21.3","84"
"כפר בלום 07/2005-07/2025","12-09-2020 00:00","27.7","74"
"כפר גלעדי 10/2007-07/2025","12-09-2020 03:00","25.3","72"
"מרום גולן פיכמן 01/1998-07/2025","12-09-2020 03:00","20.4","78"
"כפר בלום 07/2005-07/2025","12-09-2020 03:00","26.3","74"
"כפר גלעדי 10/2007-07/2025","12-09-2020 06:00","25.9","48"
"מרום גולן פיכמן 01/1998-07/2025","12-09-2020 06:00","23.5","37"
"כפר בלום 07/2005-07/2025","12-09-2020 06:00","23.9","84"
"כפר גלעדי 10/2007-07/2025","12-09-2020 09:00","29.9","50"
"מרום גולן פיכמן 01/1998-07/2025","12-09-2020 09:00","27.3","22"
"כפר בלום 07/2005-07/2025","12-09-2020 09:00","29.3","60"
"כפר גלעדי 10/2007-07/2025","12-09-2020 12:00","34.4","28"
"מרום גולן פיכמן 01/1998-07/2025","12-09-2020 12:00","30.3","29"
"כפר בלום 07/2005-07/2025","12-09-2020 12:00","37.4","21"
"כפר גלעדי 10/2007-07/2025","12-09-2020 15:00","34.1","31"
"מרום גולן פיכמן 01/1998-07/2025","12-09-2020 15:00","30.8","32"
"כפר בלום 07/2005-07/2025","12-09-2020 15:00","38.3","23"
"כפר גלעדי 10/2007-07/2025","12-09-2020 18:00","29.7","40"
"מרום גולן פיכמן 01/1998-07/2025","12-09-2020 18:00","26","51"
"כפר בלום 07/2005-07/2025","12-09-2020 18:00","33.8","32"
"כפר גלעדי 10/2007-07/2025","12-09-2020 21:00","26.1","68"
"מרום גולן פיכמן 01/1998-07/2025","12-09-2020 21:00","22.1","54"
"כפר בלום 07/2005-07/2025","12-09-2020 21:00","28.7","57"
"כפר גלעדי 10/2007-07/2025","13-09-2020 00:00","25.6","41"
"מרום גולן פיכמן 01/1998-07/2025","13-09-2020 00:00","23.1","35"
"כפר בלום 07/2005-07/2025","13-09-2020 00:00","24.3","66"
"כפר גלעדי 10/2007-07/2025","13-09-2020 03:00","23.7","63"
"מרום גולן פיכמן 01/1998-07/2025","13-09-2020 03:00","20.8","46"
"כפר בלום 07/2005-07/2025","13-09-2020 03:00","21.5","68"
"כפר גלעדי 10/2007-07/2025","13-09-2020 06:00","22.4","71"
"מרום גולן פיכמן 01/1998-07/2025","13-09-2020 06:00","13.4","81"
"כפר בלום 07/2005-07/2025","13-09-2020 06:00","19.1","74"
"כפר גלעדי 10/2007-07/2025","13-09-2020 09:00","26.1","63"
"מרום גולן פיכמן 01/1998-07/2025","13-09-2020 09:00","25.7","39"
"כפר בלום 07/2005-07/2025","13-09-2020 09:00","26.8","52"
"כפר גלעדי 10/2007-07/2025","13-09-2020 12:00","32.6","41"
"מרום גולן פיכמן 01/1998-07/2025","13-09-2020 12:00","29.4","36"
"כפר בלום 07/2005-07/2025","13-09-2020 12:00","34.2","38"
"כפר גלעדי 10/2007-07/2025","13-09-2020 15:00","31.1","48"
"מרום גולן פיכמן 01/1998-07/2025","13-09-2020 15:00","28.5","49"
"כפר בלום 07/2005-07/2025","13-09-2020 15:00","35.7","37"
"כפר גלעדי 10/2007-07/2025","13-09-2020 18:00","26.8","64"
"מרום גולן פיכמן 01/1998-07/2025","13-09-2020 18:00","24","65"
"כפר בלום 07/2005-07/2025","13-09-2020 18:00","32.2","45"
"כפר גלעדי 10/2007-07/2025","13-09-2020 21:00","24.7","71"
"מרום גולן פיכמן 01/1998-07/2025","13-09-2020 21:00","19","83"
"כפר בלום 07/2005-07/2025","13-09-2020 21:00","26.8","64"
"כפר גלעדי 10/2007-07/2025","14-09-2020 00:00","23.9","78"
"מרום גולן פיכמן 01/1998-07/2025","14-09-2020 00:00","18.2","92"
"כפר בלום 07/2005-07/2025","14-09-2020 00:00","24.6","76"
"כפר גלעדי 10/2007-07/2025","14-09-2020 03:00","23.4","82"
"מרום גולן פיכמן 01/1998-07/2025","14-09-2020 03:00","17.8","96"
"כפר בלום 07/2005-07/2025","14-09-2020 03:00","22.8","76"
"כפר גלעדי 10/2007-07/2025","14-09-2020 06:00","20","79"
"מרום גולן פיכמן 01/1998-07/2025","14-09-2020 06:00","17.3","90"
"כפר בלום 07/2005-07/2025","14-09-2020 06:00","21","83"
"כפר גלעדי 10/2007-07/2025","14-09-2020 09:00","26","58"
"מרום גולן פיכמן 01/1998-07/2025","14-09-2020 09:00","24.4","36"
"כפר בלום 07/2005-07/2025","14-09-2020 09:00","26.6","45"
"כפר גלעדי 10/2007-07/2025","14-09-2020 12:00","31.7","43"
"מרום גולן פיכמן 01/1998-07/2025","14-09-2020 12:00","28.6","42"
"כפר בלום 07/2005-07/2025","14-09-2020 12:00","35","37"
"כפר גלעדי 10/2007-07/2025","14-09-2020 15:00","32","35"
"מרום גולן פיכמן 01/1998-07/2025","14-09-2020 15:00","29.5","37"
"כפר בלום 07/2005-07/2025","14-09-2020 15:00","35.9","30"
"כפר גלעדי 10/2007-07/2025","14-09-2020 18:00","27.9","59"
"מרום גולן פיכמן 01/1998-07/2025","14-09-2020 18:00","25.6","55"
"כפר בלום 07/2005-07/2025","14-09-2020 18:00","32.6","46"
"כפר גלעדי 10/2007-07/2025","14-09-2020 21:00","25.7","64"
"מרום גולן פיכמן 01/1998-07/2025","14-09-2020 21:00","18.3","81"
"כפר בלום 07/2005-07/2025","14-09-2020 21:00","27.3","66"
"כפר גלעדי 10/2007-07/2025","15-09-2020 00:00","23.3","80"
"מרום גולן פיכמן 01/1998-07/2025","15-09-2020 00:00","14.4","77"
"כפר בלום 07/2005-07/2025","15-09-2020 00:00","24.8","77"
"כפר גלעדי 10/2007-07/2025","15-09-2020 03:00","22.5","87"
"מרום גולן פיכמן 01/1998-07/2025","15-09-2020 03:00","13.3","84"
"כפר בלום 07/2005-07/2025","15-09-2020 03:00","24.2","78"
"כפר גלעדי 10/2007-07/2025","15-09-2020 06:00","22.4","87"
"מרום גולן פיכמן 01/1998-07/2025","15-09-2020 06:00","13.5","82"
"כפר בלום 07/2005-07/2025","15-09-2020 06:00","23.1","74"
"כפר גלעדי 10/2007-07/2025","15-09-2020 09:00","27.6","64"
"מרום גולן פיכמן 01/1998-07/2025","15-09-2020 09:00","28.9","31"
"כפר בלום 07/2005-07/2025","15-09-2020 09:00","27.7","58"
"כפר גלעדי 10/2007-07/2025","15-09-2020 12:00","33.8","41"
"מרום גולן פיכמן 01/1998-07/2025","15-09-2020 12:00","32.1","28"
"כפר בלום 07/2005-07/2025","15-09-2020 12:00","34.8","41"
"כפר גלעדי 10/2007-07/2025","15-09-2020 15:00","34.3","41"
"מרום גולן פיכמן 01/1998-07/2025","15-09-2020 15:00","33.1","35"
"כפר בלום 07/2005-07/2025","15-09-2020 15:00","38.3","34"
"כפר גלעדי 10/2007-07/2025","15-09-2020 18:00","30.6","48"
"מרום גולן פיכמן 01/1998-07/2025","15-09-2020 18:00","29.1","47"
"כפר בלום 07/2005-07/2025","15-09-2020 18:00","35.4","33"
"כפר גלעדי 10/2007-07/2025","15-09-2020 21:00","26.8","62"
"מרום גולן פיכמן 01/1998-07/2025","15-09-2020 21:00","19.6","74"
"כפר בלום 07/2005-07/2025","15-09-2020 21:00","28.7","64"
"כפר גלעדי 10/2007-07/2025","16-09-2020 00:00","24.6","77"
"מרום גולן פיכמן 01/1998-07/2025","16-09-2020 00:00","19.3","58"
"כפר בלום 07/2005-07/2025","16-09-2020 00:00","26.1","75"
"כפר גלעדי 10/2007-07/2025","16-09-2020 03:00","23.4","87"
