"תחנה","תאריך ושעה (שעון קיץ)","טמפרטורה (C°)","לחות יחסית (%)"
"עבדת 10/2008-07/2025","06-09-2020 21:00","25.7","83"
"שדה בוקר 01/2004-07/2025","07-09-2020 00:00","24.1","87"
"עבדת 10/2008-07/2025","07-09-2020 00:00","23.6","90"
"שדה בוקר 01/2004-07/2025","07-09-2020 03:00","23.1","90"
"עבדת 10/2008-07/2025","07-09-2020 03:00","21.7","99"
"שדה בוקר 01/2004-07/2025","07-09-2020 06:00","22.7","89"
"עבדת 10/2008-07/2025","07-09-2020 06:00","20.4","100"
"שדה בוקר 01/2004-07/2025","07-09-2020 09:00","24.9","79"
"עבדת 10/2008-07/2025","07-09-2020 09:00","23.9","89"
"שדה בוקר 01/2004-07/2025","07-09-2020 12:00","30.2","53"
"עבדת 10/2008-07/2025","07-09-2020 12:00","30","57"
"שדה בוקר 01/2004-07/2025","07-09-2020 15:00","34.6","39"
"עבדת 10/2008-07/2025","07-09-2020 15:00","34.1","40"
"שדה בוקר 01/2004-07/2025","07-09-2020 18:00","30.2","59"
"עבדת 10/2008-07/2025","07-09-2020 18:00","29.9","61"
"שדה בוקר 01/2004-07/2025","07-09-2020 21:00","25.6","82"
"עבדת 10/2008-07/2025","07-09-2020 21:00","25","91"
"שדה בוקר 01/2004-07/2025","08-09-2020 00:00","24.5","90"
"עבדת 10/2008-07/2025","08-09-2020 00:00","23.4","100"
"שדה בוקר 01/2004-07/2025","08-09-2020 03:00","24","90"
"עבדת 10/2008-07/2025","08-09-2020 03:00","23.2","100"
"שדה בוקר 01/2004-07/2025","08-09-2020 06:00","23.5","87"
"עבדת 10/2008-07/2025","08-09-2020 06:00","22.7","97"
"שדה בוקר 01/2004-07/2025","08-09-2020 09:00","25","78"
"עבדת 10/2008-07/2025","08-09-2020 09:00","24.1","89"
"שדה בוקר 01/2004-07/2025","08-09-2020 12:00","29.6","59"
"עבדת 10/2008-07/2025","08-09-2020 12:00","29.2","65"
"שדה בוקר 01/2004-07/2025","08-09-2020 15:00","34.1","42"
"עבדת 10/2008-07/2025","08-09-2020 15:00","33.9","42"
"שדה בוקר 01/2004-07/2025","08-09-2020 18:00","31.4","53"
"עבדת 10/2008-07/2025","08-09-2020 18:00","31.2","52"
"שדה בוקר 01/2004-07/2025","08-09-2020 21:00","25.7","84"
"עבדת 10/2008-07/2025","08-09-2020 21:00","25","93"
"שדה בוקר 01/2004-07/2025","09-09-2020 00:00","25.2","85"
"עבדת 10/2008-07/2025","09-09-2020 00:00","24.4","92"
"שדה בוקר 01/2004-07/2025","09-09-2020 03:00","24.9","84"
"עבדת 10/2008-07/2025","09-09-2020 03:00","24.3","93"
"שדה בוקר 01/2004-07/2025","09-09-2020 06:00","24.6","87"
"עבדת 10/2008-07/2025","09-09-2020 06:00","23.9","94"
"שדה בוקר 01/2004-07/2025","09-09-2020 09:00","26","76"
"עבדת 10/2008-07/2025","09-09-2020 09:00","25.5","83"
"שדה בוקר 01/2004-07/2025","09-09-2020 12:00","30.5","52"
"עבדת 10/2008-07/2025","09-09-2020 12:00","29.7","53"
"שדה בוקר 01/2004-07/2025","09-09-2020 15:00","34.2","42"
"עבדת 10/2008-07/2025","09-09-2020 15:00","33.8","41"
"שדה בוקר 01/2004-07/2025","09-09-2020 18:00","30.3","60"
"עבדת 10/2008-07/2025","09-09-2020 18:00","30","63"
"שדה בוקר 01/2004-07/2025","09-09-2020 21:00","25.7","82"
"עבדת 10/2008-07/2025","09-09-2020 21:00","25.2","89"
"שדה בוקר 01/2004-07/2025","10-09-2020 00:00","24.9","85"
"עבדת 10/2008-07/2025","10-09-2020 00:00","23.6","97"
"שדה בוקר 01/2004-07/2025","10-09-2020 03:00","24","88"
"עבדת 10/2008-07/2025","10-09-2020 03:00","22.1","100"
"שדה בוקר 01/2004-07/2025","10-09-2020 06:00","23.6","88"
"עבדת 10/2008-07/2025","10-09-2020 06:00","22.5","98"
"שדה בוקר 01/2004-07/2025","10-09-2020 09:00","25.4","79"
"עבדת 10/2008-07/2025","10-09-2020 09:00","24.4","91"
"שדה בוקר 01/2004-07/2025","10-09-2020 12:00","30.9","57"
"עבדת 10/2008-07/2025","10-09-2020 12:00","31.1","60"
"שדה בוקר 01/2004-07/2025","10-09-2020 15:00","36","39"
"עבדת 10/2008-07/2025","10-09-2020 15:00","35.2","42"
"שדה בוקר 01/2004-07/2025","10-09-2020 18:00","34","51"
"עבדת 10/2008-07/2025","10-09-2020 18:00","34.9","40"
"שדה בוקר 01/2004-07/2025","10-09-2020 21:00","26.8","79"
"עבדת 10/2008-07/2025","10-09-2020 21:00","26.5","88"
"שדה בוקר 01/2004-07/2025","11-09-2020 00:00","25.7","80"
"עבדת 10/2008-07/2025","11-09-2020 00:00","24.9","89"
"שדה בוקר 01/2004-07/2025","11-09-2020 03:00","25","80"
"עבדת 10/2008-07/2025","11-09-2020 03:00","24.4","85"
"שדה בוקר 01/2004-07/2025","11-09-2020 06:00","24.2","80"
"עבדת 10/2008-07/2025","11-09-2020 06:00","23","89"
"שדה בוקר 01/2004-07/2025","11-09-2020 09:00","27.2","69"
"עבדת 10/2008-07/2025","11-09-2020 09:00","27","69"
"שדה בוקר 01/2004-07/2025","11-09-2020 12:00","31.9","45"
"עבדת 10/2008-07/2025","11-09-2020 12:00","31.9","44"
"שדה בוקר 01/2004-07/2025","11-09-2020 15:00","35.4","33"
"עבדת 10/2008-07/2025","11-09-2020 15:00","34.8","35"
"שדה בוקר 01/2004-07/2025","11-09-2020 18:00","31.3","48"
"עבדת 10/2008-07/2025","11-09-2020 18:00","30.7","51"
"שדה בוקר 01/2004-07/2025","11-09-2020 21:00","27.6","54"
"עבדת 10/2008-07/2025","11-09-2020 21:00","26.8","57"
"שדה בוקר 01/2004-07/2025","12-09-2020 00:00","26.4","58"
"עבדת 10/2008-07/2025","12-09-2020 00:00","25.8","57"
"שדה בוקר 01/2004-07/2025","12-09-2020 03:00","25","60"
"עבדת 10/2008-07/2025","12-09-2020 03:00","24.5","59"
"שדה בוקר 01/2004-07/2025","12-09-2020 06:00","23.2","60"
"עבדת 10/2008-07/2025","12-09-2020 06:00","23.6","59"
"שדה בוקר 01/2004-07/2025","12-09-2020 09:00","29.3","37"
"עבדת 10/2008-07/2025","12-09-2020 09:00","28.7","34"
"שדה בוקר 01/2004-07/2025","12-09-2020 12:00","33","28"
"עבדת 10/2008-07/2025","12-09-2020 12:00","32.1","29"
"שדה בוקר 01/2004-07/2025","12-09-2020 15:00","35","26"
"עבדת 10/2008-07/2025","12-09-2020 15:00","34.4","27"
"שדה בוקר 01/2004-07/2025","12-09-2020 18:00","31.5","39"
"עבדת 10/2008-07/2025","12-09-2020 18:00","30.8","40"
"שדה בוקר 01/2004-07/2025","12-09-2020 21:00","27.9","52"
"עבדת 10/2008-07/2025","12-09-2020 21:00","27","53"
"שדה בוקר 01/2004-07/2025","13-09-2020 00:00","25.1","78"
"עבדת 10/2008-07/2025","13-09-2020 00:00","24.6","74"
"שדה בוקר 01/2004-07/2025","13-09-2020 03:00","23.4","83"
"עבדת 10/2008-07/2025","13-09-2020 03:00","22.3","91"
"שדה בוקר 01/2004-07/2025","13-09-2020 06:00","21.6","84"
"עבדת 10/2008-07/2025","13-09-2020 06:00","21.8","99"
"שדה בוקר 01/2004-07/2025","13-09-2020 09:00","25.1","77"
"עבדת 10/2008-07/2025","13-09-2020 09:00","24.7","84"
"שדה בוקר 01/2004-07/2025","13-09-2020 12:00","31.5","39"
"עבדת 10/2008-07/2025","13-09-2020 12:00","30.8","37"
"שדה בוקר 01/2004-07/2025","13-09-2020 15:00","33.4","28"
"עבדת 10/2008-07/2025","13-09-2020 15:00","32.7","29"
"שדה בוקר 01/2004-07/2025","13-09-2020 18:00","29.9","45"
"עבדת 10/2008-07/2025","13-09-2020 18:00","29.1","46"
"שדה בוקר 01/2004-07/2025","13-09-2020 21:00","25","73"
"עבדת 10/2008-07/2025","13-09-2020 21:00","24.2","82"
"שדה בוקר 01/2004-07/2025","14-09-2020 00:00","22.9","87"
"עבדת 10/2008-07/2025","14-09-2020 00:00","22.1","96"
"שדה בוקר 01/2004-07/2025","14-09-2020 03:00","21.8","90"
"עבדת 10/2008-07/2025","14-09-2020 03:00","21.1","100"
"שדה בוקר 01/2004-07/2025","14-09-2020 06:00","19.7","92"
"עבדת 10/2008-07/2025","14-09-2020 06:00","20.7","100"
"שדה בוקר 01/2004-07/2025","14-09-2020 09:00","24.4","74"
"עבדת 10/2008-07/2025","14-09-2020 09:00","23.3","88"
"שדה בוקר 01/2004-07/2025","14-09-2020 12:00","30.2","39"
"עבדת 10/2008-07/2025","14-09-2020 12:00","29.5","42"
"שדה בוקר 01/2004-07/2025","14-09-2020 15:00","33.1","31"
"עבדת 10/2008-07/2025","14-09-2020 15:00","32.3","33"
"שדה בוקר 01/2004-07/2025","14-09-2020 18:00","29.6","48"
"עבדת 10/2008-07/2025","14-09-2020 18:00","28.8","52"
"שדה בוקר 01/2004-07/2025","14-09-2020 21:00","24.7","76"
"עבדת 10/2008-07/2025","14-09-2020 21:00","23.9","87"
"שדה בוקר 01/2004-07/2025","15-09-2020 00:00","23.1","87"
"עבדת 10/2008-07/2025","15-09-2020 00:00","22.4","96"
"שדה בוקר 01/2004-07/2025","15-09-2020 03:00","22.5","90"
"עבדת 10/2008-07/2025","15-09-2020 03:00","22","98"
"שדה בוקר 01/2004-07/2025","15-09-2020 06:00","22.6","91"
"עבדת 10/2008-07/2025","15-09-2020 06:00","22","99"
"שדה בוקר 01/2004-07/2025","15-09-2020 09:00","24.2","81"
"עבדת 10/2008-07/2025","15-09-2020 09:00","23.6","89"
"שדה בוקר 01/2004-07/2025","15-09-2020 12:00","29.6","49"
"עבדת 10/2008-07/2025","15-09-2020 12:00","28.9","54"
"שדה בוקר 01/2004-07/2025","15-09-2020 15:00","33.7","36"
"עבדת 10/2008-07/2025","15-09-2020 15:00","32.9","37"
"שדה בוקר 01/2004-07/2025","15-09-2020 18:00","29.1","56"
"עבדת 10/2008-07/2025","15-09-2020 18:00","28.5","59"
"שדה בוקר 01/2004-07/2025","15-09-2020 21:00","24.7","80"
"עבדת 10/2008-07/2025","15-09-2020 21:00","24","88"
"שדה בוקר 01/2004-07/2025","16-09-2020 00:00","24","86"
"עבדת 10/2008-07/2025","16-09-2020 00:00","23.3","94"
"שדה בוקר 01/2004-07/2025","16-09-2020 03:00","23.4","89"
"עבדת 10/2008-07/2025","16-09-2020 03:00","22.6","96"
"שדה בוקר 01/2004-07/2025","16-09-2020 06:00","23.3","87"
"עבדת 10/2008-07/2025","16-09-2020 06:00","22.4","96"
"שדה בוקר 01/2004-07/2025","16-09-2020 09:00","25","78"
"עבדת 10/2008-07/2025","16-09-2020 09:00","23.9","87"
"שדה בוקר 01/2004-07/2025","16-09-2020 12:00","29.8","55"
"עבדת 10/2008-07/2025","16-09-2020 12:00","29.4","59"
"שדה בוקר 01/2004-07/2025","16-09-2020 15:00","34.6","35"
"עבדת 10/2008-07/2025","16-09-2020 15:00","33.3","40"
"שדה בוקר 01/2004-07/2025","16-09-2020 18:00","31","55"
"עבדת 10/2008-07/2025","16-09-2020 18:00","30.9","56"
"שדה בוקר 01/2004-07/2025","16-09-2020 21:00","25.3","82"
"עבדת 10/2008-07/2025","16-09-2020 21:00","24.6","90"
"שדה בוקר 01/2004-07/2025","17-09-2020 00:00","24.3","89"
"עבדת 10/2008-07/2025","17-09-2020 00:00","23.4","100"
"שדה בוקר 01/2004-07/2025","17-09-2020 03:00","24","90"
"עבדת 10/2008-07/2025","17-09-2020 03:00","23","100"
"שדה בוקר 01/2004-07/2025","17-09-2020 06:00","23.3","86"
"עבדת 10/2008-07/2025","17-09-2020 06:00","22.8","97"
"שדה בוקר 01/2004-07/2025","17-09-2020 09:00","25.3","78"
"עבדת 10/2008-07/2025","17-09-2020 09:00","24.9","80"
"שדה בוקר 01/2004-07/2025","17-09-2020 12:00","31.2","48"
"עבדת 10/2008-07/2025","17-09-2020 12:00","30.5","47"
"שדה בוקר 01/2004-07/2025","17-09-2020 15:00","34.1","35"
"עבדת 10/2008-07/2025","17-09-2020 15:00","33.5","38"
"שדה בוקר 01/2004-07/2025","17-09-2020 18:00","30.9","54"
"עבדת 10/2008-07/2025","17-09-2020 18:00","30.3","56"
"שדה בוקר 01/2004-07/2025","17-09-2020 21:00","25.8","80"
"עבדת 10/2008-07/2025","17-09-2020 21:00","25.5","86"
"שדה בוקר 01/2004-07/2025","18-09-2020 00:00","24.5","89"
"עבדת 10/2008-07/2025","18-09-2020 00:00","23.7","99"
"שדה בוקר 01/2004-07/2025","18-09-2020 03:00","23.4","90"
"עבדת 10/2008-07/2025","18-09-2020 03:00","22.2","100"
"שדה בוקר 01/2004-07/2025","18-09-2020 06:00","22.2","90"
"עבדת 10/2008-07/2025","18-09-2020 06:00","22.5","82"
"שדה בוקר 01/2004-07/2025","18-09-2020 09:00","25.7","66"
"עבדת 10/2008-07/2025","18-09-2020 09:00","26.5","48"
"שדה בוקר 01/2004-07/2025","18-09-2020 12:00","33.4","22"
"עבדת 10/2008-07/2025","18-09-2020 12:00","32.7","23"
"שדה בוקר 01/2004-07/2025","18-09-2020 15:00","35.2","24"
"עבדת 10/2008-07/2025","18-09-2020 15:00","34.3","26"
"שדה בוקר 01/2004-07/2025","18-09-2020 18:00","32.5","33"
"עבדת 10/2008-07/2025","18-09-2020 18:00","31.9","32"
"שדה בוקר 01/2004-07/2025","18-09-2020 21:00","27.8","54"
"עבדת 10/2008-07/2025","18-09-2020 21:00","26.9","53"
"שדה בוקר 01/2004-07/2025","19-09-2020 00:00","24.4","87"
"עבדת 10/2008-07/2025","19-09-2020 00:00","23.8","86"
"שדה בוקר 01/2004-07/2025","19-09-2020 03:00","23.5","91"
"עבדת 10/2008-07/2025","19-09-2020 03:00","21.5","100"
"שדה בוקר 01/2004-07/2025","19-09-2020 06:00","22.5","94"
"עבדת 10/2008-07/2025","19-09-2020 06:00","19.9","100"
"שדה בוקר 01/2004-07/2025","19-09-2020 09:00","24.4","83"
"עבדת 10/2008-07/2025","19-09-2020 09:00","24.1","81"
"שדה בוקר 01/2004-07/2025","19-09-2020 12:00","33.2","34"
"עבדת 10/2008-07/2025","19-09-2020 12:00","32.7","27"
"שדה בוקר 01/2004-07/2025","19-09-2020 15:00","35.5","29"
"עבדת 10/2008-07/2025","19-09-2020 15:00","35.3","28"
"שדה בוקר 01/2004-07/2025","19-09-2020 18:00","31.7","39"
"עבדת 10/2008-07/2025","19-09-2020 18:00","30.7","41"
"שדה בוקר 01/2004-07/2025","19-09-2020 21:00","27","58"
"עבדת 10/2008-07/2025","19-09-2020 21:00","26.4","60"
"שדה בוקר 01/2004-07/2025","20-09-2020 00:00","24.1","78"
"עבדת 10/2008-07/2025","20-09-2020 00:00","23.6","76"
"שדה בוקר 01/2004-07/2025","20-09-2020 03:00","23.2","85"
"עבדת 10/2008-07/2025","20-09-2020 03:00","23","76"
"שדה בוקר 01/2004-07/2025","20-09-2020 06:00","21.9","89"
"עבדת 10/2008-07/2025","20-09-2020 06:00","21.5","80"
"שדה בוקר 01/2004-07/2025","20-09-2020 09:00","24","85"
"עבדת 10/2008-07/2025","20-09-2020 09:00","23.6","87"
"שדה בוקר 01/2004-07/2025","20-09-2020 12:00","30.1","51"
"עבדת 10/2008-07/2025","20-09-2020 12:00","29.6","53"
"שדה בוקר 01/2004-07/2025","20-09-2020 15:00","34","38"
"עבדת 10/2008-07/2025","20-09-2020 15:00","33.1","42"
"שדה בוקר 01/2004-07/2025","20-09-2020 18:00","28.7","56"
"עבדת 10/2008-07/2025","20-09-2020 18:00","28.2","57"
"שדה בוקר 01/2004-07/2025","20-09-2020 21:00","24.9","72"
"עבדת 10/2008-07/2025","20-09-2020 21:00","24","78"
"שדה בוקר 01/2004-07/2025","21-09-2020 00:00","23.4","82"
"עבדת 10/2008-07/2025","21-09-2020 00:00","22.5","91"
"שדה בוקר 01/2004-07/2025","21-09-2020 03:00","22.2","88"
"עבדת 10/2008-07/2025","21-09-2020 03:00","20.7","98"
"שדה בוקר 01/2004-07/2025","21-09-2020 06:00","21.6","90"
"עבדת 10/2008-07/2025","21-09-2020 06:00","20.9","100"
"שדה בוקר 01/2004-07/2025","21-09-2020 09:00","24.5","74"
"עבדת 10/2008-07/2025","21-09-2020 09:00","23.4","86"
"שדה בוקר 01/2004-07/2025","21-09-2020 12:00","29.5","46"
"עבדת 10/2008-07/2025","21-09-2020 12:00","29.1","53"
"שדה בוקר 01/2004-07/2025","21-09-2020 15:00","32.5","39"
"עבדת 10/2008-07/2025","21-09-2020 15:00","31.7","39"
"שדה בוקר 01/2004-07/2025","21-09-2020 18:00","28.6","50"
"עבדת 10/2008-07/2025","21-09-2020 18:00","28","52"
"שדה בוקר 01/2004-07/2025","21-09-2020 21:00","24.2","69"
"עבדת 10/2008-07/2025","21-09-2020 21:00","23.4","79"
"שדה בוקר 01/2004-07/2025","22-09-2020 00:00","22.3","82"
"עבדת 10/2008-07/2025","22-09-2020 00:00","21.2","91"
"שדה בוקר 01/2004-07/2025","22-09-2020 03:00","21","88"
"עבדת 10/2008-07/2025","22-09-2020 03:00","19.9","99"
"שדה בוקר 01/2004-07/2025","22-09-2020 06:00","18.7","90"
"עבדת 10/2008-07/2025","22-09-2020 06:00","20.6","100"
"שדה בוקר 01/2004-07/2025","22-09-2020 09:00","23.7","68"
"עבדת 10/2008-07/2025","22-09-2020 09:00","22.8","82"
"שדה בוקר 01/2004-07/2025","22-09-2020 12:00","29.4","36"
"עבדת 10/2008-07/2025","22-09-2020 12:00","28.7","39"
"שדה בוקר 01/2004-07/2025","22-09-2020 15:00","32.1","29"
"עבדת 10/2008-07/2025","22-09-2020 15:00","31.5","30"
"שדה בוקר 01/2004-07/2025","22-09-2020 18:00","28.1","56"
"עבדת 10/2008-07/2025","22-09-2020 18:00","27.5","55"
"שדה בוקר 01/2004-07/2025","22-09-2020 21:00","24.1","76"
"עבדת 10/2008-07/2025","22-09-2020 21:00","23.2","81"
"שדה בוקר 01/2004-07/2025","23-09-2020 00:00","22.5","86"
"עבדת 10/2008-07/2025","23-09-2020 00:00","22.2","88"
"שדה בוקר 01/2004-07/2025","23-09-2020 03:00","21.7","89"
"עבדת 10/2008-07/2025","23-09-2020 03:00","21.3","91"
"שדה בוקר 01/2004-07/2025","23-09-2020 06:00","19.8","88"
"עבדת 10/2008-07/2025","23-09-2020 06:00","21.1","91"
"שדה בוקר 01/2004-07/2025","23-09-2020 09:00","23.5","77"
"עבדת 10/2008-07/2025","23-09-2020 09:00","23.3","75"
"שדה בוקר 01/2004-07/2025","23-09-2020 12:00","27.6","56"
"עבדת 10/2008-07/2025","23-09-2020 12:00","27.1","55"
"שדה בוקר 01/2004-07/2025","23-09-2020 15:00","30.4","43"
"עבדת 10/2008-07/2025","23-09-2020 15:00","29.9","43"
"שדה בוקר 01/2004-07/2025","23-09-2020 18:00","27.8","51"
"עבדת 10/2008-07/2025","23-09-2020 18:00","27.2","52"
"שדה בוקר 01/2004-07/2025","23-09-2020 21:00","23.3","79"
"עבדת 10/2008-07/2025","23-09-2020 21:00","22.6","82"
"שדה בוקר 01/2004-07/2025","24-09-2020 00:00","22.2","83"
"עבדת 10/2008-07/2025","24-09-2020 00:00","21.5","86"
"שדה בוקר 01/2004-07/2025","24-09-2020 03:00","20.6","88"
"עבדת 10/2008-07/2025","24-09-2020 03:00","19.5","93"
"שדה בוקר 01/2004-07/2025","24-09-2020 06:00","18.8","89"
"עבדת 10/2008-07/2025","24-09-2020 06:00","19.1","94"
"שדה בוקר 01/2004-07/2025","24-09-2020 09:00","23.5","75"
"עבדת 10/2008-07/2025","24-09-2020 09:00","22.8","78"
"שדה בוקר 01/2004-07/2025","24-09-2020 12:00","26.9","54"
"עבדת 10/2008-07/2025","24-09-2020 12:00","26.7","56"
"שדה בוקר 01/2004-07/2025","24-09-2020 15:00","29.9","41"
"עבדת 10/2008-07/2025","24-09-2020 15:00","29.2","43"
"שדה בוקר 01/2004-07/2025","24-09-2020 18:00","26.8","57"
"עבדת 10/2008-07/2025","24-09-2020 18:00","26.3","58"
"שדה בוקר 01/2004-07/2025","24-09-2020 21:00","22.6","72"
"עבדת 10/2008-07/2025","24-09-2020 21:00","21.9","73"
"שדה בוקר 01/2004-07/2025","25-09-2020 00:00","20.5","77"
"עבדת 10/2008-07/2025","25-09-2020 00:00","19.7","80"
"שדה בוקר 01/2004-07/2025","25-09-2020 03:00","17.2","83"
"עבדת 10/2008-07/2025","25-09-2020 03:00","17.2","89"
"שדה בוקר 01/2004-07/2025","25-09-2020 06:00","15","88"
"עבדת 10/2008-07/2025","25-09-2020 06:00","17","92"
"שדה בוקר 01/2004-07/2025","25-09-2020 09:00","22.5","76"
"עבדת 10/2008-07/2025","25-09-2020 09:00","22.2","75"
"שדה בוקר 01/2004-07/2025","25-09-2020 12:00","26.4","55"
